Stock,Author,Title,AskingPrice,Notes,Active,Catalog #1,Catalog #2,Cost,Binding,BookType,Inscription,Publisher,Edition,Book Cond,Jckt Cond,ISBN,PubLoc,PubYr,PrivateComment,Amazon,Price,,,,,
427,"Abbott, Jeff",Cut and Run,12,"UK uncorrected proof copy, Orion 2004 Fine in card wraps",Y,1,,0,Trade Paperback,,,Orion,First Edition,Fine,No Jacket,752860925,UK,2004,,,,,,,,
428,"Abbott, Jeff",Cut and Run,17.24,"UK uncorrected proof copy, Orion 2004 with signed publishers bookplate. Fine in card wraps",Y,1,,0,Trade Paperback,,,Orion,First Edition,Fine,No Jacket,752860925,UK,2004,,Y,17.24,,,,,
972,"Abbott, Jeff",Fear,17.24,"UK 1/1 PBO, Sphere 2007. with author signed bookplate. F condition",Y,1,,3.73,Mass Market Paperback,,Signed by Author,Sphere,First Edition,F,No Jacket,9780751538328,UK,2007,,D,,,,,,
973,"Abbott, Jeff",Fear,17.24,"UK 1/1 PBO, Sphere 2007. with author signed bookplate. F condition",Y,1,,3.73,Mass Market Paperback,,Signed by Author,Sphere,First Edition,F,No Jacket,9780751538328,UK,2007,,D,,,,,,
1175,"Abbott, Jeff",Panic,17.24,"UK 1/1 PBO, Time Warner 2006. Signed by Author to title page. VG condition, light wear only.",Y,1,,0.75,Mass Market Paperback,,Signed by Author,Time Warner,First Edition,VG,No Jacket,751538310,UK,2006,,Y,17.24,,,,,
1188,"Abbott, Jeff",Fear,17.24,"UK 1/1 PBO, Sphere 2007. Signed by Author to title page. VG+ condition",Y,1,,1,Mass Market Paperback,,Signed by Author,Sphere,First Edition,VG,No Jacket,9780751538328,UK,2007,,Y,17.24,,,,,
1231,"Abbott, Jeff",Fear,6.99,"UK 1/1 PBO, Sphere 2007. VG+ condition",Y,1,,0.99,Mass Market Paperback,,,Sphere,First Edition,VG,No Jacket,9780751538328,UK,2007,,D,,,,,,
1558,"Abbott, Jeff",Run ,7.24,"UK 1/1 PBO, Sphere 2008. Supplied with loose signed Jeff Abbott Bookplate. Fine condition",Y,1,,0,Mass Market Paperback,,,Sphere,First Edition,VG,No Jacket,9780751539783,UK,2008,,Y,7.24,,,,,
1573,"Abbott, Jeff",Panic,22.24,"UK uncorrected proof copy, Time Warner 2006. Trade paperback format with pub details to rear of white card covers. VG+ condition, single crease to spine and gentle wear to edges",Y,1,,1,Trade Paperback,Proof,,Time Warner,First Edition,VG,No Jacket,0751538310,UK,2006,,Y,22.24,,,,,
131,"Anobile, Richard J",Psycho - in Stills,12,"1ST UK PBO large format. Picador, 1974, VG.  A little rubbing to edges.",Y,1,,3,Trade Paperback,,,Picador,First Edition,Very Good,No Jacket,033024213x,UK,1974,,Y,14.99,,,,,
1025,"Armstrong, Kelley",Exit Strategy,12.24,"UK 1/1 PBO, Sphere 2007. with author signed bookplate. F condition",Y,1,,4.66,Mass Market Paperback,,Signed by Author,Sphere,First Edition,F,No Jacket,9780751538120,UK,2007,,Y,12.24,,,,,
1026,"Armstrong, Kelley",Exit Strategy,12.24,"UK 1/1 PBO, Sphere 2007. with author signed bookplate. F condition",Y,1,,4.66,Mass Market Paperback,,Signed by Author,Sphere,First Edition,F,No Jacket,9780751538120,UK,2007,,D,,,,,,
1033,"Armstrong, Kelley",Bitten,19.99,"UK 1/1 PBO, Little Brown 2001. VG condition, v light crease to spine. With signed bookplate supplied loose.",Y,1,,1,Trade Paperback,,Signed by Author,Little Brown,First Edition,VG,No Jacket,0316855391,UK,2001,,Y,19.99,,,,,
1125,"Armstrong, Kelley",Exit Strategy,9.99,"UK 1/1 PBO, Sphere 2007. with author signed bookplate & bookmark. VG condition, light creasing to spine.",Y,1,,1.39,Mass Market Paperback,,Signed by Author,Sphere,First Edition,VG,No Jacket,9780751538120,UK,2007,,N,,,,,,
1353,"Armstrong, Kelley",Living with the dead,12.24,"UK 1/1HB, Orbit 2008. Comes with loose signed Kelley Armstrong bookplate. VG/VG, light wear to edges. Reliable service from Horror and Thriller specialists",Y,1,,1,Hard Cover,,,Orbit,First Edition,VG,VG,9781841497327,UK,2008,,Y,12.24,,,,,
1639,"Armstrong, Kelley",Bitten,19.99,"UK 1/1 PBO, Little Brown 2001. Nr Fine condition, v light wear to top edge. With signed bookplate supplied loose.",Y,1,,1,Trade Paperback,,Signed by Author,Little Brown,First Edition,Nr Fine,No Jacket,0316855391,UK,2001,,D,,,,,,
860,"Axton, David",Prison of Ice,15,"USA 1st thus PB, Fawcett Crest 1976. VG, light wear to edges, light creasing and light chips to base of spine",Y,1,,0,Mass Market Paperback,,,Fawcett,First Paperback Edition,VG,No Jacket,233456,UK,1976,,Y,,,,,,
