Stock,Author,Title,AskingPrice,Notes,ISBN,,,,,
427,"Abbott, Jeff",Cut and Run,12,"UK uncorrected proof copy, Orion 2004 Fine in card wraps",752860925,,,,,
428,"Abbott, Jeff",Cut and Run,17.24,"UK uncorrected proof copy, Orion 2004 with signed publishers bookplate. Fine in card wraps",752860925,,,,,
972,"Abbott, Jeff",Fear,17.24,"UK 1/1 PBO, Sphere 2007. with author signed bookplate. F condition",9780751538328,,,,,
973,"Abbott, Jeff",Fear,17.24,"UK 1/1 PBO, Sphere 2007. with author signed bookplate. F condition",9780751538328,,,,,
1175,"Abbott, Jeff",Panic,17.24,"UK 1/1 PBO, Time Warner 2006. Signed by Author to title page. VG condition, light wear only.",751538310,,,,,
1188,"Abbott, Jeff",Fear,17.24,"UK 1/1 PBO, Sphere 2007. Signed by Author to title page. VG+ condition",9780751538328,,,,,
1231,"Abbott, Jeff",Fear,6.99,"UK 1/1 PBO, Sphere 2007. VG+ condition",9780751538328,,,,,
1558,"Abbott, Jeff",Run ,7.24,"UK 1/1 PBO, Sphere 2008. Supplied with loose signed Jeff Abbott Bookplate. Fine condition",9780751539783,,,,,
1573,"Abbott, Jeff",Panic,22.24,"UK uncorrected proof copy, Time Warner 2006. Trade paperback format with pub details to rear of white card covers. VG+ condition, single crease to spine and gentle wear to edges",0751538310,,,,,
131,"Anobile, Richard J",Psycho - in Stills,12,"1ST UK PBO large format. Picador, 1974, VG.  A little rubbing to edges.",033024213x,,,,,
1025,"Armstrong, Kelley",Exit Strategy,12.24,"UK 1/1 PBO, Sphere 2007. with author signed bookplate. F condition",9780751538120,,,,,
1026,"Armstrong, Kelley",Exit Strategy,12.24,"UK 1/1 PBO, Sphere 2007. with author signed bookplate. F condition",9780751538120,,,,,
1033,"Armstrong, Kelley",Bitten,19.99,"UK 1/1 PBO, Little Brown 2001. VG condition, v light crease to spine. With signed bookplate supplied loose.",0316855391,,,,,
1125,"Armstrong, Kelley",Exit Strategy,9.99,"UK 1/1 PBO, Sphere 2007. with author signed bookplate & bookmark. VG condition, light creasing to spine.",9780751538120,,,,,
1353,"Armstrong, Kelley",Living with the dead,12.24,"UK 1/1HB, Orbit 2008. Comes with loose signed Kelley Armstrong bookplate. VG/VG, light wear to edges. Reliable service from Horror and Thriller specialists",9781841497327,,,,,
1639,"Armstrong, Kelley",Bitten,19.99,"UK 1/1 PBO, Little Brown 2001. Nr Fine condition, v light wear to top edge. With signed bookplate supplied loose.",0316855391,,,,,
860,"Axton, David",Prison of Ice,15,"USA 1st thus PB, Fawcett Crest 1976. VG, light wear to edges, light creasing and light chips to base of spine",233456,,,,,
483,"Aylett, Steve",Bigot Hall,18,"UK 1st PBO, Serif 1995. VG. Signed by Author to title page with accompanying ""piggy"" cartoon. Book has slight roll.",1897959206,,,,,
1731,"Barclay, Linwood",Clouded Vision,9.99,"UK 1/1 PBO, Orion 2011. Novella issued as part of the Quick Reads series. Fine Condition (minor sticker mark to rear cover only).",9781409121251,,,,,
142,"Barker, Clive",The Books of Blood Vol IV & V,40,(VG / VG-) UK Book club edition 1985 produced by Weidenfield & Nicolson and issued a week before W&N issued individual volumes of the Books of Blood. Had previously been issued in Sphere paperback but this book club edition seems scarce. Pages are a littl,,,,,,
166,"Barker, Clive",Sacrament,12,"1st UK Edn, HB, Harper Collins 1996. (F/F).",2235617,,,,,
540,"Barker, Clive",In the Flesh,18.99,US 1st PBO. VG. Light rubbing to edges.,671612700,,,,,
596,"Barker, Clive",The Great and Secret Show,20,"UK 1st edn HB, Collins 1989. VG/VG. Light rubbing",000223453x,,,,,
1661,"Barnes, Jonathan",The Somnambulist,17.2,"UK 1/1 HB, Gollancz 2007. Fine/Fine condition",9780575079410,,,,,
546,"Barrington, James",Overkill,32.24,"UK 1st edn HB, Macmillan 2004. VG/VG. ",1405041765,,,,,
1497,"Beahm, George",Stephen King from A to Z,42.24,"USA pre publication proof copy, andrews mcmeel publishing 1998. Trade paperback format as issued with plan card covers. Fine condition",0836269144,,,,,
595,"Billingham, Mark",The Burning Girl,27.25,"UK Ltd Edn Signed Uncorrected Proof (No 114/164), Little,Brown 2004. Trade PB format as issued, VG. Bumped and rubbed to all edges, single crease to spine. ",0316725749,,,,,
674,"Billingham, Mark",Lazy Bones,27.24,"UK 1st Uncorrected Proof Copy, Little Brown 2003, VG. Signed by Author to title page. v little rubbing only. ",0316724939,,,,,
675,"Billingham, Mark",Lifeless,27.24,"UK 1st Uncorrected Proof Copy, Little Brown 2005, Signed by Author to title page. VG. Light rubbing to edges.",0316727520,,,,,
905,"Billingham, Mark",Buried,22.24,"UK 1/1 HB, Little Brown 2006. Signed by Author to title page. F/F",0316730505,,,,,
1010,"Billingham, Mark",The Burning Girl,27.24,"UK Uncorrected proof, Little Brown 2004. Signed by author to title page. VG condition, light edge wear and gentle spine creasing only.",0316725749,,,,,
1101,"Billingham, Mark",Sleepyhead,22.24,"UK 1/1 HB, Little Brown 2001. Signed by Author to title page. First state DW with error on character name. VG/VG, wear to DJ at top & bottom of spine, light rubbing to edges.",0316856975,,,,,
1177,"Billingham, Mark",Lifeless,22.24,"UK Uncorrected proof, Little Brown 2005. Signed by author to title page. VG condition, light edge wear only.",0316727520,,,,,
1178,"Billingham, Mark",Buried,22.24,"UK Uncorrected proof, Little Brown 2006. VG condition, wear to edges, with single knock to spine edge. ",0316730505,,,,,
1279,"Billingham, Mark",Death Message,22.2,"UK Uncorrected proof. Little Brown 2007. Signed by author to title page. VG condition, light wear to edges and spine. Light marks to cover where sticker has been removed.",9780316730525,,,,,
759,"Blackwood, Alan",Kingdom of the Blind,42.5,"UK Uncorrected Proof, Corgi 1998, VG. Light rubbing to edges & v light creasing to spine.",0552146455,,,,,
1499,"Blatty, William Peter",William Peter Blatty on the Exorcist,22.24,"US 1/1 PBO, Bantam June 1974. VG condition, page browning consistent with age, single strong crease to spine. Tight bind, original pictures are present and not loose. Interesting item on the evolution of the movie from the original screenplay. Scarce item",n/a,,,,,
1616,"Bonansinga, Jay",The Killer's game,12.24,"UK 1/1 HB, Macmillan 1997. F/F condition. ",0333661214,,,,,
1617,"Bonansinga, Jay",Head case,12.24,"UK 1/1 HB, Macmillan 1998. Nr F/ Nr F condition",0333661222,,,,,
937,"Bourne, Sam",The Righteous Men,17.2,"UK 1/1HB, Harper Collins 2006. Signed by author Jonanthan Freedland as Sam Bourne to title page. VG/VG, wear to edges of DJ, small 1cm nick to rear of DJ, marks to boards of book. Priced accordingly.",0007203284,,,,,
1141,"Bourne, Sam",The Last Testament,27.24,"UK uncorrected proof, Harper 2007. Signed by Author to title page. Fine condition",9780007203338,,,,,
550,"Brookmyre, Christopher",Quite ugly one morning,4.24,"UK 1st PB, Abacus 1997. VG.Light creasing to spine.",349108854,,,,,
1015,"Brookmyre, Christopher",A tale etched in blood and hard black pencil,12.24,"UK 1/1HB, Little Brown 2006. Signed by author to title page. F/VG, light wear to DJ edges only. Gentle sticker mark to front cover.",0316730106,,,,,
